Benchmark,MSVC Median (us),MSVC Mean (us),MSVC StdDev (us),MSVC CV (%),MSVC-PGO Median (us),MSVC-PGO Mean (us),MSVC-PGO StdDev (us),MSVC-PGO CV (%),Clang Median (us),Clang Mean (us),Clang StdDev (us),Clang CV (%),GCC Median (us),GCC Mean (us),GCC StdDev (us),GCC CV (%)
BM_AuResult_HappyPath/1024/8,18.73,18.75,0.09,0.47,19.51,19.55,0.06,0.31,16.08,16.09,0.04,0.25,15.05,15.04,0.04,0.25
BM_AuResult_HappyPath/16384/1,61.21,61.07,0.19,0.30,67.02,66.94,0.16,0.24,47.08,47.14,0.12,0.25,48.92,48.98,0.12,0.25
BM_AuResult_HappyPath/16384/4,146.71,146.87,0.69,0.47,142.79,142.63,0.36,0.25,132.57,132.28,0.40,0.30,130.37,130.23,0.61,0.47
BM_AuResult_HappyPath/16384/8,299.94,299.94,1.23,0.41,312.15,312.85,0.96,0.31,256.44,257.03,0.81,0.32,241.35,240.79,0.76,0.32
BM_Exception_ErrorRate_1pct/1024/1,16.01,16.03,0.10,0.61,15.92,15.88,0.05,0.31,14.43,14.42,0.04,0.25,13.66,13.69,0.04,0.31
BM_Exception_ErrorRate_1pct/1024/4,15.92,15.97,0.08,0.50,17.17,17.15,0.04,0.25,14.44,14.46,0.07,0.46,15.61,15.62,0.04,0.25
BM_Exception_ErrorRate_1pct/1024/8,16.01,15.97,0.05,0.30,18.62,18.65,0.05,0.25,14.43,14.43,0.01,0.04,15.68,15.69,0.04,0.25
BM_Exception_ErrorRate_1pct/16384/1,392.37,394.11,3.90,0.99,390.19,390.63,0.97,0.25,352.98,352.59,0.86,0.24,333.79,334.18,0.86,0.26
BM_Exception_ErrorRate_1pct/16384/4,392.37,392.37,0.96,0.24,412.62,411.71,1.24,0.30,352.97,352.97,1.42,0.40,365.00,364.60,1.68,0.46
BM_Exception_ErrorRate_1pct/16384/8,392.37,392.80,0.97,0.25,434.57,435.06,1.09,0.25,352.98,353.74,2.91,0.82,367.01,366.21,1.10,0.30
BM_Exception_ErrorRate_25pct/1024/1,574.28,574.28,2.28,0.40,574.40,574.40,0.80,0.14,512.20,511.63,1.29,0.25,483.80,482.72,1.48,0.31
BM_Exception_ErrorRate_25pct/1024/4,573.18,572.52,2.77,0.48,577.54,576.29,1.72,0.30,512.20,513.35,5.97,1.16,483.80,484.89,1.48,0.31
BM_Exception_ErrorRate_25pct/1024/8,574.28,575.57,1.77,0.31,577.51,578.80,1.77,0.31,509.32,519.11,20.31,3.91,485.49,486.05,2.33,0.48
BM_Exception_ErrorRate_25pct/16384/1,9406.89,9417.52,44.47,0.47,9458.61,9437.71,28.62,0.30,8377.26,8377.26,33.28,0.40,7943.44,7934.71,19.52,0.25
BM_Exception_ErrorRate_25pct/16384/4,9406.89,9502.55,217.19,2.29,9460.03,9460.03,37.58,0.40,8367.23,8376.48,20.67,0.25,7971.01,7952.90,24.81,0.31
BM_Exception_ErrorRate_25pct/16384/8,9458.61,9427.26,46.74,0.50,9458.61,9479.52,28.62,0.30,8377.26,8527.86,311.12,3.65,7987.08,7987.08,30.86,0.39
BM_Exception_ErrorRate_50pct/1024/1,1179.50,1179.50,4.69,0.40,1177.27,1178.58,2.92,0.25,1045.56,1045.56,1.42,0.14,987.72,991.07,4.99,0.50
BM_Exception_ErrorRate_50pct/1024/4,1172.87,1174.19,2.96,0.25,1177.27,1179.89,3.58,0.30,1045.56,1044.39,2.61,0.25,993.30,991.07,3.06,0.31
BM_Exception_ErrorRate_50pct/1024/8,1179.50,1184.80,11.85,1.00,1179.50,1180.82,2.96,0.25,1045.56,1058.41,28.73,2.71,993.30,992.19,2.50,0.25
BM_Exception_ErrorRate_50pct/16384/1,18770.97,18729.03,57.44,0.31,18666.11,18687.08,87.74,0.47,16642.01,16697.49,180.23,1.08,15713.28,15730.93,39.48,0.25
BM_Exception_ErrorRate_50pct/16384/4,18770.97,18770.97,74.15,0.40,18770.97,18750.00,87.74,0.47,16549.56,16586.54,50.64,0.31,15801.55,15766.24,48.35,0.31
BM_Exception_ErrorRate_50pct/16384/8,18770.97,18770.97,29.55,0.16,18770.97,18750.00,46.90,0.25,16642.01,16623.52,41.35,0.25,15713.78,15749.29,48.63,0.31
BM_Exception_ErrorRate_5pct/1024/1,95.74,95.95,0.29,0.30,95.69,95.58,0.24,0.25,85.69,85.51,0.26,0.30,80.49,80.67,0.24,0.30
BM_Exception_ErrorRate_5pct/1024/4,95.74,96.38,1.43,1.48,97.23,97.12,0.25,0.25,85.36,85.46,0.21,0.25,82.26,82.35,0.21,0.25
BM_Exception_ErrorRate_5pct/1024/8,95.74,95.84,0.24,0.25,98.39,98.61,0.30,0.30,85.36,85.27,0.21,0.25,82.97,82.88,0.38,0.46
BM_Exception_ErrorRate_5pct/16384/1,1961.63,1959.36,5.07,0.26,1961.63,1959.36,9.49,0.48,1742.57,1744.50,8.10,0.46,1653.98,1652.13,4.13,0.25
BM_Exception_ErrorRate_5pct/16384/4,1961.30,1959.12,4.87,0.25,1977.85,1980.05,9.19,0.46,1742.57,1746.44,5.30,0.30,1676.46,1678.35,7.88,0.47
BM_Exception_ErrorRate_5pct/16384/8,1961.30,1963.48,4.87,0.25,2006.98,2002.45,6.21,0.31,1738.28,1742.19,5.35,0.31,1682.25,1684.15,4.25,0.25
BM_Exception_HappyPath/1024/1,2.22,2.22,0.01,0.30,2.22,2.22,0.01,0.25,2.21,2.22,0.01,0.32,2.20,2.19,0.01,0.33
BM_Exception_HappyPath/1024/4,2.22,2.22,0.01,0.30,3.45,3.45,0.01,0.25,2.22,2.22,0.01,0.25,4.19,4.19,0.01,0.25
BM_Exception_HappyPath/1024/8,2.22,2.22,0.01,0.30,4.92,4.91,0.01,0.30,2.22,2.22,0.01,0.46,4.19,4.23,0.07,1.70
BM_Exception_HappyPath/16384/1,35.50,35.42,0.11,0.31,35.50,35.46,0.17,0.47,35.30,35.30,0.01,0.02,34.89,35.02,0.18,0.51
BM_Exception_HappyPath/16384/4,35.30,35.34,0.09,0.25,55.24,55.24,0.22,0.39,35.30,35.34,0.09,0.25,66.74,66.66,0.17,0.25
BM_Exception_HappyPath/16384/8,35.50,35.70,0.51,1.43,78.27,78.44,0.24,0.31,35.30,35.30,0.01,0.04,66.74,66.96,0.50,0.75
BM_HighCollision_AdvAuxid_Lookup_u64/32768,1.55,1.55,0.01,0.85,1.19,1.19,0.00,0.25,1.06,1.07,0.03,2.43,1.34,1.34,0.01,0.50
BM_HighCollision_AdvAuxid_Lookup_u64/4096,1.06,1.06,0.01,0.65,0.80,0.80,0.01,1.46,0.71,0.71,0.01,1.27,0.93,0.93,0.02,1.97
BM_HighCollision_AdvAuxid_Lookup_u64/512,1.04,1.04,0.01,0.70,0.78,0.78,0.01,0.83,0.64,0.64,0.02,2.76,0.88,0.88,0.01,0.82
BM_HighCollision_AdvAuxid_Lookup_u64/65536,1.64,1.64,0.00,0.25,1.26,1.26,0.01,0.47,1.12,1.13,0.02,1.92,1.42,1.42,0.00,0.31
BM_HighCollision_AdvStdHashIdentity_Lookup_u64/32768,1.12,1.12,0.00,0.25,1.32,1.32,0.00,0.31,0.82,0.82,0.00,0.25,1.26,1.27,0.00,0.25
BM_HighCollision_AdvStdHashIdentity_Lookup_u64/4096,1.52,1.52,0.01,0.46,1.68,1.69,0.02,1.05,1.26,1.27,0.01,0.73,0.88,0.88,0.01,0.62
BM_HighCollision_AdvStdHashIdentity_Lookup_u64/512,0.67,0.67,0.00,0.25,0.84,0.84,0.00,0.05,0.45,0.45,0.00,1.02,0.85,0.85,0.00,0.25
BM_HighCollision_AdvStdHashIdentity_Lookup_u64/65536,1.13,1.13,0.02,1.39,1.33,1.33,0.00,0.30,0.82,0.82,0.00,0.30,1.28,1.28,0.01,0.47
BM_StdUnorderedMap_Insert_String_StdSameAlloc/32768,1288.21,1291.11,3.96,0.31,1420.45,1493.46,172.17,11.53,1231.23,1242.11,36.19,2.91,3156.39,3156.39,17.44,0.55
BM_StdUnorderedMap_Insert_String_StdSameAlloc/4096,145.15,144.99,0.68,0.47,159.86,159.50,1.02,0.64,134.27,134.57,0.42,0.31,299.84,299.51,1.39,0.46
BM_StdUnorderedMap_Insert_String_StdSameAlloc/512,13.65,13.64,0.03,0.25,15.38,15.42,0.08,0.50,11.64,11.67,0.04,0.31,30.81,30.75,0.09,0.30
BM_StdUnorderedMap_Insert_String_StdSameAlloc/65536,3770.05,3761.33,33.05,0.88,4054.93,4163.06,293.03,7.04,4003.91,3989.26,372.50,9.34,6870.29,6878.14,17.56,0.26
BM_StdUnorderedMap_Insert_String_StdSameAlloc_NoReserve/32768,3449.94,3518.13,175.20,4.98,3573.92,3648.01,178.11,4.88,3393.40,3385.74,10.50,0.31,4150.04,4154.57,18.97,0.46
BM_StdUnorderedMap_Insert_String_StdSameAlloc_NoReserve/4096,252.51,253.35,3.50,1.38,263.85,263.85,1.05,0.40,241.95,242.22,0.58,0.24,388.01,388.45,0.97,0.25
BM_StdUnorderedMap_Insert_String_StdSameAlloc_NoReserve/512,18.57,18.55,0.05,0.25,19.38,19.29,0.19,0.97,14.91,14.96,0.07,0.50,44.00,44.20,0.28,0.63
BM_StdUnorderedMap_Insert_String_StdSameAlloc_NoReserve/65536,7550.63,7707.75,336.10,4.36,7812.50,7873.60,140.07,1.78,7472.83,7644.93,314.43,4.11,9839.97,9839.97,66.22,0.67
BM_StdUnorderedMap_Insert_String_StdSameHashAlloc/32768,1296.64,1367.54,169.02,12.36,1412.61,1444.00,65.89,4.56,1226.30,1299.33,167.17,12.87,3150.64,3154.31,8.19,0.26
BM_StdUnorderedMap_Insert_String_StdSameHashAlloc/4096,145.96,146.45,1.68,1.15,160.08,159.73,0.49,0.30,135.03,134.72,0.42,0.31,299.94,299.25,0.96,0.32
BM_StdUnorderedMap_Insert_String_StdSameHashAlloc/512,13.65,13.62,0.04,0.30,15.38,15.38,0.01,0.05,11.68,11.67,0.03,0.25,30.65,30.71,0.09,0.30
BM_StdUnorderedMap_Insert_String_StdSameHashAlloc/65536,3767.19,3888.55,303.08,7.79,4045.31,4090.82,145.68,3.56,3651.12,3691.94,144.68,3.92,6871.93,6879.61,17.17,0.25
BM_StdUnorderedMap_Insert_String_StdSameHashAlloc_NoReserve/32768,3450.92,3447.09,8.57,0.25,3570.28,3570.28,3.90,0.11,3388.55,3463.86,192.05,5.54,4165.10,4155.69,12.89,0.31
BM_StdUnorderedMap_Insert_String_StdSameHashAlloc_NoReserve/4096,250.51,251.40,1.33,0.53,265.07,263.95,1.53,0.58,241.35,241.91,0.76,0.32,389.94,389.49,1.01,0.26
BM_StdUnorderedMap_Insert_String_StdSameHashAlloc_NoReserve/512,18.47,18.51,0.06,0.31,19.25,19.27,0.09,0.47,14.98,15.00,0.07,0.47,43.95,44.09,0.22,0.50
BM_StdUnorderedMap_Insert_String_StdSameHashAlloc_NoReserve/65536,7550.63,7655.38,228.04,2.98,8189.01,8236.07,297.65,3.61,7456.43,7615.62,405.49,5.32,9848.15,9848.15,0.00,0.00
BM_StdUnorderedMap_Insert_String_StdStock/32768,1311.59,1467.46,213.43,14.54,1438.07,1513.54,174.52,11.53,1251.45,1398.36,205.34,14.68,3723.23,3731.59,11.46,0.31
BM_StdUnorderedMap_Insert_String_StdStock/4096,146.71,146.87,0.69,0.47,163.88,163.69,0.41,0.25,138.88,138.73,0.34,0.25,432.13,433.59,2.18,0.50
BM_StdUnorderedMap_Insert_String_StdStock/512,14.12,14.11,0.07,0.47,16.17,16.17,0.09,0.56,12.64,12.67,0.04,0.31,52.37,52.48,0.33,0.63
BM_StdUnorderedMap_Insert_String_StdStock/65536,3850.45,4001.12,273.10,6.83,4501.68,4438.86,344.05,7.75,4070.97,4099.21,420.75,10.26,7681.56,7725.21,61.72,0.80
BM_StdUnorderedMap_Insert_String_StdStock_NoReserve/32768,2476.28,2615.79,331.56,12.68,2609.11,2902.63,401.96,13.85,2400.23,2557.10,215.10,8.41,4789.57,4805.28,39.69,0.83
BM_StdUnorderedMap_Insert_String_StdStock_NoReserve/4096,254.96,254.96,0.27,0.11,266.82,266.22,0.81,0.30,244.14,244.42,1.53,0.63,540.16,538.33,2.73,0.51
BM_StdUnorderedMap_Insert_String_StdStock_NoReserve/512,18.89,18.84,0.12,0.64,20.18,20.15,0.12,0.62,17.01,17.11,0.38,2.22,68.24,68.01,0.57,0.84
BM_StdUnorderedMap_Insert_String_StdStock_NoReserve/65536,7066.58,7223.62,425.56,5.89,7044.06,7402.66,558.75,7.55,6659.84,6798.89,308.77,4.54,10020.38,10020.38,40.03,0.40
BM_StdUnorderedMap_Insert_i32_StdSameAlloc/32768,702.03,700.50,3.43,0.49,827.23,825.38,2.53,0.31,675.18,669.04,13.72,2.05,1623.26,1619.63,4.97,0.31
BM_StdUnorderedMap_Insert_i32_StdSameAlloc/4096,61.04,61.45,0.62,1.02,78.04,78.21,0.50,0.64,58.07,60.07,4.68,7.79,162.55,162.20,0.49,0.30
BM_StdUnorderedMap_Insert_i32_StdSameAlloc/512,6.59,6.59,0.04,0.68,8.95,8.93,0.06,0.65,6.28,6.27,0.04,0.61,18.83,18.79,0.06,0.30
BM_StdUnorderedMap_Insert_i32_StdSameAlloc/65536,1435.77,1440.58,16.63,1.15,1691.76,1689.86,7.95,0.47,1396.91,1400.05,13.13,0.94,3813.63,3804.92,11.94,0.31
BM_StdUnorderedMap_Insert_i32_StdSameAlloc_NoReserve/32768,2327.41,2330.02,5.85,0.25,2525.11,2527.90,11.67,0.46,2270.51,2265.63,6.69,0.30,2160.64,2160.64,8.63,0.40
BM_StdUnorderedMap_Insert_i32_StdSameAlloc_NoReserve/4096,117.06,116.80,0.58,0.50,138.11,138.11,0.54,0.39,107.69,107.81,1.08,1.00,204.03,203.80,0.51,0.25
BM_StdUnorderedMap_Insert_i32_StdSameAlloc_NoReserve/512,8.95,8.97,0.03,0.31,12.71,12.67,0.06,0.50,8.11,8.38,0.45,5.41,26.79,26.87,0.12,0.46
BM_StdUnorderedMap_Insert_i32_StdSameAlloc_NoReserve/65536,3976.84,4038.03,150.31,3.72,4318.47,4402.22,173.02,3.93,3857.22,3922.59,147.00,3.75,5875.52,5862.60,17.68,0.30
BM_StdUnorderedMap_Insert_i32_StdSameHashAlloc/32768,671.20,670.45,1.68,0.25,749.90,748.26,2.24,0.30,650.59,649.16,1.96,0.30,1732.88,1729.01,5.30,0.31
BM_StdUnorderedMap_Insert_i32_StdSameHashAlloc/4096,59.97,59.97,0.41,0.68,69.06,68.90,0.34,0.50,57.43,58.33,2.45,4.20,174.80,174.61,0.44,0.25
BM_StdUnorderedMap_Insert_i32_StdSameHashAlloc/512,6.28,6.30,0.03,0.50,7.53,7.52,0.02,0.30,6.12,6.09,0.04,0.61,20.06,20.04,0.05,0.25
BM_StdUnorderedMap_Insert_i32_StdSameHashAlloc/65536,1387.62,1452.25,144.51,9.95,1538.43,1611.69,158.03,9.80,1334.20,1329.76,11.24,0.85,4031.56,4027.20,9.75,0.24
BM_StdUnorderedMap_Insert_i32_StdSameHashAlloc_NoReserve/32768,2314.33,2306.49,11.69,0.51,2366.63,2369.25,5.85,0.25,2233.89,2229.00,6.69,0.30,2307.13,2302.25,6.69,0.29
BM_StdUnorderedMap_Insert_i32_StdSameHashAlloc_NoReserve/4096,113.63,113.76,0.82,0.72,118.83,118.83,1.26,1.06,103.72,107.23,5.87,5.47,223.64,224.43,1.17,0.52
BM_StdUnorderedMap_Insert_i32_StdSameHashAlloc_NoReserve/512,8.95,8.94,0.04,0.47,9.83,9.81,0.05,0.50,8.25,8.40,0.30,3.57,29.82,29.99,0.39,1.30
BM_StdUnorderedMap_Insert_i32_StdSameHashAlloc_NoReserve/65536,3900.80,3896.44,18.23,0.47,4059.33,4063.86,18.97,0.47,3764.51,3832.55,166.65,4.35,6138.39,6124.44,19.10,0.31
BM_StdUnorderedMap_Insert_i32_StdStock/32768,733.51,733.51,2.12,0.29,878.91,875.98,4.37,0.50,718.08,716.51,5.95,0.83,2539.06,2555.80,41.15,1.61
BM_StdUnorderedMap_Insert_i32_StdStock/4096,65.92,66.06,0.42,0.63,83.18,83.28,0.39,0.46,64.35,64.28,0.53,0.82,275.71,275.71,1.82,0.66
