Benchmark,MSVC Median (us),MSVC Mean (us),MSVC StdDev (us),MSVC CV (%),MSVC-PGO Median (us),MSVC-PGO Mean (us),MSVC-PGO StdDev (us),MSVC-PGO CV (%),Clang Median (us),Clang Mean (us),Clang StdDev (us),Clang CV (%),GCC Median (us),GCC Mean (us),GCC StdDev (us),GCC CV (%)
I32EraseFixture/AuHashMap_Erase_i32/65536/manual_time,4089.58,4081.11,12.61,0.31,1733.15,1731.82,5.58,0.32,3092.57,3092.57,8.19,0.26,3778.53,3778.53,7.53,0.20
I32EraseFixture/StdUnorderedMap_Erase_i32_StdSameAlloc/32768/manual_time,1259.27,1260.11,3.52,0.28,1643.85,1643.85,5.61,0.34,1230.50,1229.70,1.79,0.15,2846.66,2846.66,0.00,0.00
I32EraseFixture/StdUnorderedMap_Erase_i32_StdSameAlloc/4096/manual_time,109.78,109.92,1.71,1.55,145.61,145.61,1.67,1.14,100.68,102.46,2.71,2.65,258.01,258.23,0.61,0.24
I32EraseFixture/StdUnorderedMap_Erase_i32_StdSameAlloc/512/manual_time,10.35,10.34,0.04,0.41,15.86,15.90,0.20,1.27,9.80,9.93,0.35,3.49,27.21,27.21,0.09,0.33
I32EraseFixture/StdUnorderedMap_Erase_i32_StdSameAlloc/65536/manual_time,2633.63,2644.23,35.02,1.32,3438.94,3443.73,18.17,0.53,2576.75,2728.44,228.86,8.39,6407.49,6410.57,6.90,0.11
I32EraseFixture/StdUnorderedMap_Erase_i32_StdSameHashAlloc/32768/manual_time,1197.14,1199.47,3.48,0.29,1336.81,1335.94,3.63,0.27,1142.84,1144.32,2.03,0.18,3148.57,3146.89,3.76,0.12
I32EraseFixture/StdUnorderedMap_Erase_i32_StdSameHashAlloc/4096/manual_time,100.65,100.82,1.46,1.45,119.08,119.02,1.46,1.23,97.21,96.76,1.86,1.92,295.08,296.07,1.78,0.60
I32EraseFixture/StdUnorderedMap_Erase_i32_StdSameHashAlloc/512/manual_time,9.88,9.88,0.03,0.32,12.44,12.50,0.27,2.18,8.97,8.96,0.05,0.57,31.44,31.64,0.48,1.52
I32EraseFixture/StdUnorderedMap_Erase_i32_StdSameHashAlloc/65536/manual_time,2510.27,2520.21,32.83,1.30,2804.72,2795.47,22.67,0.81,2434.75,2515.08,176.05,7.00,6987.24,6983.57,15.34,0.22
I32EraseFixture/StdUnorderedMap_Erase_i32_StdStock/32768/manual_time,1301.02,1301.87,1.90,0.15,1555.65,1558.59,12.28,0.79,1260.60,1269.43,17.59,1.39,4735.76,4735.76,43.97,0.93
I32EraseFixture/StdUnorderedMap_Erase_i32_StdStock/4096/manual_time,113.35,113.48,1.19,1.05,142.75,142.91,1.86,1.30,109.62,109.14,1.41,1.30,405.71,406.38,2.88,0.71
I32EraseFixture/StdUnorderedMap_Erase_i32_StdStock/512/manual_time,11.18,11.28,0.35,3.12,15.55,15.72,0.45,2.89,10.38,10.41,0.19,1.86,46.14,46.54,2.25,4.83
I32EraseFixture/StdUnorderedMap_Erase_i32_StdStock/65536/manual_time,2710.00,2711.79,16.00,0.59,3222.32,3380.19,221.15,6.54,2662.17,2649.99,21.84,0.82,9983.52,9945.49,85.04,0.86
